"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"v_45";"v_32";"v_33";"v_46";"v_47";"v_48";"v_49";"v_50";"v_51";"v_52";"v_53";"v_54";"v_55";"v_56";"v_57";"v_58";"v_1";"v_39";"v_40";"v_59";"v_60";"v_61";"v_62";"v_42";"v_63";"v_64";"v_65";"v_66";"v_67";"v_68";"v_69";"v_70";"v_71";"v_72";"v_73";"v_74";"v_75";"v_76";"v_77";"browser";"referer";"device_type";"participant_browser";"participant_browser_version";"participant_os";"participant_device";"participant_brand";"participant_model";"participant_isbot";"participant_continent";"participant_country";"participant_region";"participant_city";"participant_latitude";"participant_longitude";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail"
"61";"0";"0";"31";"7226503";"0.6";"508";"104";"4";"4";"2";"4";"2";"1";"2";"4";"2";"4";"1";"3";"1";"2";"2";"2";"1";"2";"3";"1";"3";"1";"1";"1";"2";"2";"1";"2";"3";"2";"3";"1";"1";"2";"3";"The rapid guidance were annoying.. I did not like the lights as it putting strains on my eyes... And the meditation should be done in the quite room and no body should be there, but the examiner was there and it was making me uncomfortable.";"Not at all I wanted to remove the headset due to its weight. And the guidance was annoying.";"If the thing like lighter headset. With good voice and less instruction then yes. Otherwise no";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7228112,7244682,7226503";"1";"0";"0";"-77";"-77";"752219fefb06b4b4580d612545942eba";"1";"2";"1762176697";"2025-11-03 13:31:37";"2025-11-03 13:40:05";"0000-00-00 00:00:00"
"62";"0";"0";"31";"7226503";"0.33";"291";"135";"4";"4";"2";"4";"3";"4";"2";"3";"2";"5";"5";"4";"3";"2";"3";"2";"3";"4";"3";"5";"2";"4";"3";"2";"4";"5";"4";"3";"2";"3";"2";"4";"4";"2";"4";"no";"very immersive";"yes, it was good.";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7228112,7244682,7226503";"1";"0";"0";"-77";"-77";"b95ac6a12a8bb6aa292f7259dc269382";"1";"2";"1762183349";"2025-11-03 15:22:29";"2025-11-03 15:27:20";"0000-00-00 00:00:00"
"63";"0";"0";"31";"7226503";"0.53";"301";"136";"3";"4";"5";"3";"4";"1";"4";"3";"4";"2";"4";"3";"1";"3";"3";"1";"3";"3";"5";"3";"3";"5";"-77";"-77";"-77";"-77";"-77";"5";"2";"5";"1";"3";"5";"2";"5";"I wasn't distracted ";"Pretty compelling and interesting ";"Yes and because it's similar ";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7244682,7226503";"0";"1";"0";"-77";"-77";"6100a51e66d8961bfdaee0a676f077bb";"1";"2";"1762266004";"2025-11-04 14:20:04";"2025-11-04 14:25:05";"0000-00-00 00:00:00"
"64";"0";"0";"31";"7226503";"0.27";"255";"137";"3";"4";"3";"3";"4";"2";"5";"1";"5";"2";"4";"4";"4";"3";"3";"2";"4";"3";"5";"5";"5";"4";"4";"4";"5";"3";"3";"4";"4";"4";"2";"4";"5";"1";"5";"No because guidance was very clear";"Super";"Yes because i haven't done meditation and i need guidance ";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7228112,7244682,7226503";"1";"1";"0";"-77";"-77";"30a91f245c8c61bbbadeb64b37f69d11";"1";"2";"1762267375";"2025-11-04 14:42:55";"2025-11-04 14:47:10";"0000-00-00 00:00:00"
"65";"0";"0";"31";"7226503";"0.46";"356";"106";"3";"2";"4";"3";"1";"2";"4";"4";"4";"2";"3";"1";"1";"1";"3";"2";"4";"4";"3";"3";"2";"2";"3";"4";"4";"2";"3";"4";"2";"4";"1";"2";"3";"1";"4";"No I did not felt distracted ";"Very much immersive.. my felt relaxed ";"Yes... My body was relax and I felt sleepy ";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7228112,7244682,7226503";"1";"0";"0";"-77";"-77";"732a5db6ebbc6b1996a0cf13db4b34b7";"1";"2";"1762868396";"2025-11-11 13:39:56";"2025-11-11 13:45:52";"0000-00-00 00:00:00"
"66";"0";"0";"31";"7226503";"0.63";"1029";"111";"2";"2";"3";"2";"1";"1";"4";"3";"3";"2";"3";"1";"2";"1";"3";"2";"3";"2";"3";"2";"4";"4";"3";"3";"4";"3";"4";"3";"2";"4";"1";"2";"2";"1";"3";"Yes the music was loud for me";"Everything was good except music ";"Yes.. it helped me relax and guide me how to meditate ";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7228112,7244682,7226503";"0";"1";"0";"-77";"-77";"fd04a20a008642ea7ece0934c0aeb802";"1";"2";"1762869032";"2025-11-11 13:50:32";"2025-11-11 14:07:41";"0000-00-00 00:00:00"
"67";"0";"0";"31";"7226503";"0.49";"339";"138";"5";"3";"4";"5";"3";"5";"1";"4";"3";"2";"1";"1";"5";"1";"2";"1";"2";"3";"4";"5";"5";"5";"-77";"-77";"-77";"-77";"-77";"3";"1";"1";"1";"1";"1";"1";"3";"No distractions. ";"It was pleasant";"Sure";"Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-A510F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/21.0 Chrome/110.0.5481.154 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7244682,7226503";"0";"1";"0";"-77";"-77";"00b36750b3bce2d31dd9bb232c76c93b";"1";"2";"1762870660";"2025-11-11 14:17:40";"2025-11-11 14:23:19";"0000-00-00 00:00:00"
"68";"0";"0";"31";"7226503";"0.63";"479";"139";"4";"5";"4";"5";"2";"4";"3";"2";"3";"2";"2";"1";"5";"1";"2";"2";"5";"5";"5";"5";"5";"5";"4";"3";"3";"3";"3";"3";"2";"3";"2";"2";"3";"2";"4";"Only when the AI spoke overall it was good";"It was good apart from AI speech";"Sure";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7228112,7244682,7226503";"0";"0";"0";"-77";"-77";"64ba6327cee287315769a0b2d38713c1";"1";"2";"1762871875";"2025-11-11 14:37:55";"2025-11-11 14:45:54";"0000-00-00 00:00:00"
"69";"0";"0";"31";"7226503";"0.27";"255";"140";"4";"3";"5";"3";"3";"3";"4";"3";"4";"3";"3";"2";"2";"2";"4";"2";"3";"2";"4";"3";"4";"3";"4";"3";"3";"3";"4";"4";"2";"3";"2";"4";"2";"1";"5";"No";"I feel very immersive";"Yes its a greta method. I would choose again";"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/142.0.7444.128 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7228112,7244682,7226503";"0";"0";"0";"-77";"-77";"2cc481b51664831cd5328d6bfe80c72c";"1";"2";"1762876088";"2025-11-11 15:48:08";"2025-11-11 15:52:23";"0000-00-00 00:00:00"
"70";"0";"0";"31";"7226503";"0.5";"339";"141";"3";"4";"5";"4";"2";"3";"4";"3";"4";"3";"3";"2";"4";"3";"4";"1";"3";"3";"4";"4";"4";"4";"-77";"-77";"-77";"-77";"-77";"4";"2";"4";"2";"4";"3";"2";"4";"No I didn’t feel such thing";"I feel very mich immersive";"Yes I would like to do it again ";"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/142.0.7444.128 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7244682,7226503";"0";"1";"0";"-77";"-77";"9fe785b333a39c46c584b45ee73b40f1";"1";"2";"1762877126";"2025-11-11 16:05:26";"2025-11-11 16:11:05";"0000-00-00 00:00:00"
"72";"0";"0";"31";"7226503";"0.55";"315";"142";"4";"5";"3";"4";"2";"2";"2";"3";"4";"4";"2";"1";"5";"3";"4";"1";"3";"3";"4";"4";"2";"4";"-77";"-77";"-77";"-77";"-77";"3";"2";"4";"4";"2";"4";"4";"3";"The seat was uncomfortable.. I normally meditate while sitting on ground ";"It was calm and good. The background music was good addition ";"Yes.. as it helps me to focus.";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7244682,7226503";"1";"0";"0";"-77";"-77";"6772e7c1c6c2ca18118045be389e8ab0";"1";"2";"1763986984";"2025-11-24 12:23:04";"2025-11-24 12:28:19";"0000-00-00 00:00:00"
"73";"0";"0";"31";"7226503";"0.48";"292";"143";"2";"3";"3";"2";"1";"3";"2";"2";"1";"3";"3";"2";"1";"1";"5";"1";"1";"2";"4";"2";"1";"3";"-77";"-77";"-77";"-77";"-77";"1";"3";"3";"2";"1";"2";"3";"3";"Yes.. I never meditated and I was started to feel bored after some time.";"Well I didn't knew what to do except breathing. So I was looking around.. not immersive at all.";"No. I was bored";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7244682,7226503";"0";"1";"0";"-77";"-77";"1d74866ce6f1dc180b582918e2c46412";"1";"2";"1763988860";"2025-11-24 12:54:20";"2025-11-24 12:59:12";"0000-00-00 00:00:00"
"74";"0";"0";"31";"7226503";"0.31";"218";"144";"4";"4";"2";"2";"3";"3";"2";"3";"5";"4";"3";"4";"2";"1";"2";"1";"2";"1";"1";"3";"1";"3";"-77";"-77";"-77";"-77";"-77";"1";"4";"2";"3";"1";"3";"2";"1";"Yes  I was unable to focus";"Due to stress I could not concentrate well ";"Yes.. with properly guidance ";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7244682,7226503";"0";"1";"0";"-77";"-77";"023354db573076b997eab110f2afa404";"1";"2";"1763992757";"2025-11-24 13:59:17";"2025-11-24 14:02:55";"0000-00-00 00:00:00"
"75";"0";"0";"31";"7226503";"0.21";"196";"145";"4";"3";"3";"2";"1";"4";"2";"4";"2";"3";"2";"4";"1";"2";"1";"1";"2";"1";"2";"3";"1";"1";"-77";"-77";"-77";"-77";"-77";"2";"3";"3";"2";"1";"3";"2";"2";"I was unable to concentrate ";"No.";"I don't know. May be";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7244682,7226503";"0";"1";"0";"-77";"-77";"81f0f0b711cbe06a96ccda1efed3284a";"1";"2";"1763994855";"2025-11-24 14:34:15";"2025-11-24 14:37:31";"0000-00-00 00:00:00"
"76";"0";"0";"31";"7226503";"0.37";"243";"146";"5";"1";"5";"3";"1";"1";"5";"3";"5";"1";"5";"1";"1";"2";"5";"1";"3";"1";"5";"5";"3";"5";"-77";"-77";"-77";"-77";"-77";"1";"5";"1";"2";"2";"2";"1";"1";"Not as such, Just boring";"Not exciting";"No";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7244682,7226503";"0";"1";"0";"-77";"-77";"75dec7d94ebace8cd07dccf9c5651cab";"1";"2";"1763999418";"2025-11-24 15:50:18";"2025-11-24 15:54:21";"0000-00-00 00:00:00"
